well,oracle_shift,base_rmse,tw_delta,prefix_delta,ridge_correction,ridge_rmse
70925e23,-13.601521035467176,15.460124423431118,-0.5412575500552925,-13.22777037698496,11.695329930339938,26.34283093169748
71ccf778,-4.501316403650324,6.420975930720909,-2.2942060422377577,-13.436500935509212,0.8374832928697964,7.033481693776168
726f3dc2,-0.5695680853545895,5.114684442052208,3.9291692362030792,-9.194073019260987,2.2886795843570664,5.831395105746807
729e9750,5.202035213368585,7.604374771331985,4.137166978979838,-13.079523505271968,0.7173949085813112,7.132835618817373
739a914f,-12.846371599849927,16.788691949217817,-4.0813509075398695,-21.057455471515983,-1.0717512356444188,15.983510215389815
75d20a82,-6.467160626400344,15.546757114245201,5.579171171342075,-9.598343023279872,3.968384135765128,17.57208253693449
764072a5,0.5219975502937126,3.128279751831714,-0.1134374821868787,-13.871160901702083,-2.381735669126423,4.236191611905094
77b0d905,5.753423308405952,6.556912685200907,-4.002261752786906,-16.005190110974198,-1.4274483856103148,7.839396818732651
7987f2f2,-4.365608341015825,10.204601341035094,-1.8982462035211094,-12.138148724785454,1.9051145309768962,11.153354548280065
7acda2df,8.317967449759907,13.137075520135193,-1.3998800769341468,-13.984560528792937,1.1275270723451272,12.453778685508384
7b2c7b3c,-0.7315455427804392,4.730500005783257,0.35218203994428565,-9.57464166942219,1.0917406596704233,5.016656655542903
7bb17b96,13.321617354725841,15.514959147896157,-2.812792945331925,-9.351307350437112,-1.7950935022671843,17.08108355898674
8050c789,0.2904663900386389,7.666393555322765,,,-2.8649201004259583,8.285269055713371
807f0298,2.0058710469618672,8.976028348810162,-0.3715998464984247,-10.385492298336386,1.6877156927724632,8.754815194565946
811f52b3,1.763269272442307,3.0114819171150238,-1.6685521463471382,-18.313298037594333,-0.2152611691880124,3.142369729746369
81fc01c6,3.9223046216282356,11.59342065847707,-6.786600487341045,-24.918014806561537,-4.655209611967074,13.877920573597493
8478df29,-2.9264890616418495,5.181583699438313,-8.808026611665476,-12.56333095832839,-10.716827506442847,8.886722933169782
84815d5a,13.93762893813877,15.908559569727093,10.353636415608364,-11.966159692988661,6.760857645150107,10.503847550216486
877ed19c,-9.053388352632664,9.952392053938437,-2.742569946491999,-14.626431019254305,0.020102654641281748,9.970682323231728
8902c3f6,-0.6229560658046944,3.8008758422835265,1.546727868796494,-13.718164305789365,-1.2410274536435701,3.800078308271598
896d15b9,18.836461492475454,24.71449494702943,3.781933549944046,-15.92882704820125,4.28465812273976,21.627504716001425
8995c945,6.822880830728634,10.799639145043653,1.3914460360588228,-8.537838197452519,-2.824906555217071,12.77342179203565
89f1085d,-14.02206777911741,15.79353485263519,-1.7287245020819506,0.9721427887431587,7.205561313946129,22.437236800726847
8a9c8932,5.344538907373282,6.460699972437753,-2.4894904459083693,-12.386210702716495,1.7331457639596821,5.120420728585465
8bb9c1e6,-0.7967470956830773,2.1147185860559317,1.2164659577179393,-6.052322807113212,0.04606928621448475,2.132502805936166
8bfa881d,12.173781455374048,18.114552767337333,-0.255632944602741,-2.6609542421195878,-1.980177016838966,19.50052838952293
8c167025,3.563894036431616,7.920964813048502,-1.2566650254346903,-20.28733051019679,-2.836300909784402,9.539540775960516
8c8348e8,-5.657669298068082,6.675756077964409,-7.413085154701397,-12.536900160817742,-4.428657286429537,3.7505956661480844
8cc800b3,-13.522043177413847,14.924076109490096,-0.009192608717349449,-16.857403164635627,-2.627153513426765,12.592895489935877
8d92cb49,-0.7871389248386081,6.2310698882554405,0.06157692471979129,-5.797962903317309,-3.2434507278759708,6.65132407412746
90386ee4,3.653786397081407,6.102059849016816,-8.161742303960843,-15.211681718730846,-4.294012179164026,9.330191936613422
91abc4c7,-14.442074063965208,15.61397792849454,-6.690256997114464,-19.364606438865838,12.673170245655903,27.757148222627684
91db7070,32.08257573426339,38.430410967907,0.5325417001398579,-16.45998796337766,1.5160612857891036,37.174139222667634
9298ad5b,3.6609320559497385,10.314136223399965,0.22589966562014951,-17.33433985251851,1.1015386254657153,9.976446123173094
940e709a,5.355172682299976,6.149776538290535,3.133996347139276,-8.222625199889682,4.960771985769062,3.0491685625890277
9426ec1e,-6.347529287091851,8.018278696000566,,,-1.5810929877270161,6.835245437594669
94467f50,-4.268890195394532,8.048206976598337,-6.273926353056117,-8.872739659611048,-0.5549557613670717,7.768109230571362
