repeat,outer_fold,well,typewell_profile_hash,n_rows,base_sse,typewell_sse,ordered_sse,joint_sse
1,3,d00e7eb9,47143aecfed87aaf7dc66d8da8e2f8dbabac24f57a46f2c37e3ea5574d400578,5704,312908.58049812505,711787.9571476266,487999.11035185173,891534.4696730126
1,3,d011f41b,6ba409d6a11775872bb6647dec72c77c3f90b083fe300f4ec6e029a964c60537,2267,352980.6510623018,303986.58621912496,337332.3790958366,293518.3984879083
1,4,d07aed8f,95fe21cabbd37b526c8ede533a8342df8e9550f40202d522e7e03c8ed847eddf,2957,208184.15495503493,203938.03693928057,192882.85084453766,190386.44399154373
1,0,d085e611,3e6cf6033e01aa35ebce138990a3be7f734c0182ecb8c331f44ef1f90bed14d2,6191,328621.3651498932,419699.75954676175,442748.86746059905,433255.4186347372
1,0,d0a0e7b5,dcc07c36f2f1c67c56bc36178cdfd03c03b5192c5b7e9e7c7676033e91e080c8,3816,234628.13185728568,219352.06837075675,249184.971492388,233403.16995648737
1,1,d0a43760,11c7b208e224151364dddd193072f0aa4649afe62929396f575faeacdf30c8ee,4041,899923.5757510582,781009.0494578994,633838.571216139,560759.3913592878
1,1,d0cb63ae,9260781d76ffe713f8013c6e98a82ac60e6d6bfe1cbd1b5798327ce27fa2b05d,5223,2438945.212604957,2606446.9382338114,2916571.131647857,3046161.5677687107
1,4,d114d9c2,b775a84a66857dcf1b9918e3d585971eafdb55d92a6c6b2ebb7519220692e632,6206,227278.3604053288,198752.6813949263,191371.6772111939,175053.11376309546
1,3,d1457cc5,971980e08d3be14aa5bd86544a51996f4537f34657312df7c8ff9cd9504a5fb8,6920,3087463.6076497696,2794585.9345155153,2602303.662103247,2385922.6662205136
1,2,d1ecf309,d4447cdf458b6083df90176d127d00012287160377c32422419bb950c2a5c01c,6168,1008413.678803589,800089.2150846928,778258.2394395309,645829.9961330568
1,0,d1ee630d,38ac36220980cf145d4f25ea6383c38d6417d05d9075adfc19e31afb1ba76007,6290,263381.7380982856,320080.9377541621,249713.20635858207,297930.920137281
1,4,d217e0c5,c3a0905e50618acd5fa75024edd3fb07c9496f50c1a1295f8536bfabb52061c2,3838,21363.77015151231,41016.23156453957,66970.59138833528,96712.37353303346
1,4,d24ff243,9c780bc4e48a91e8f06e4cf6cb192cde198b72baa844f9958a0f3aa8c14a6565,5641,68243.49614701033,68764.5280051546,371088.4821775693,280098.89456853416
1,0,d273674e,fb313d69d98a7f6507a5036410530ce7898b54002018c1e7f35c404b1f81886f,3899,46212.19178271007,40268.11105787178,36965.45849195843,31419.727339145116
1,4,d2f3b1ab,0cc2775045b21053b9ae70edb18403a99aa0dc84187d2883d43f46eacdb85cfd,5581,833700.0684497982,915868.5507324251,558949.8824128744,648099.9379017192
1,0,d3df146b,f1eb9059ea316ccdc7d14260f9f10beebbb682fac76938a268e469ee544fa8f5,5787,660201.8534477231,428394.02752537973,262896.2319366052,173119.49798992352
1,3,d40f61d5,b7e77fe30e9a2946004e895d497d426941d5104f8be0277744039f9c26f26e66,4039,33725.62006676657,21760.87730566413,42127.16212299095,29581.50185222191
1,1,d41beaf2,8a238574099b3dd5577bde2fcd3f86b6a12aa963de9aeb62874081002b229767,4753,490366.316688868,201822.52724134846,331829.29859566817,132153.7545774264
1,1,d463e527,dd77ee64cdbd7f916a8f4f6c3628d652c1da4d7094e13f0a429ed7e6eeb3df77,4767,181417.4669894807,203543.82913143796,130173.20218643278,147446.8438209187
