mode,fold,well,typewell_profile_hash,spatial_cluster_id,n_rows,base_sse,typewell_sse,ordered_sse,joint_sse
region_out,0,6a0ff78e,0f860712db18495692e9f115eff769053bb69e66cb9a52d188b1f6f39f7cfaaf,region_fold_0,6465,1417904.5936095866,1277748.9463982624,2058170.075617417,1818780.8900416587
region_out,0,6a8fa194,9aba40e12e30e8616c2dab3d55527794c9a17ac34d328e42bbc45bf4bf40a388,region_fold_0,3017,137316.52725780214,183133.6524131486,120097.75074678192,160456.73624169672
region_out,0,6d1d74e1,a2a772a1288d985d4e4f853cb5eee34911427c599e4e61ef7a5f22e53a053b99,region_fold_0,5830,1058657.8430339957,981082.5577499935,502919.7379923271,513840.3783115165
region_out,0,6d6d93af,258b15e8dab6db2b76e57aa86b7c9b40e112e611303fa540e46f075ee8321295,region_fold_0,3595,2112160.6962998295,2087039.29883011,1659413.2183305728,1681942.4617494114
region_out,0,6e9ccd38,1234cd829f0962ae8af7f71ba0a4b09a49aa8c3d86b96dbb589e094a639e2e26,region_fold_0,8282,1591711.8755600618,1615684.0388402469,977495.1335148974,1010671.5577211021
region_out,0,6ede926a,aded941f0a831b8964396e7895fd6126fc5e98a924b61f25c7a93af08f53d9ff,region_fold_0,4938,87506.68722620695,80653.31378210222,136065.5359786257,170827.80862247373
region_out,0,70e1788b,a36e41eb729a463822b7c9ed2f2e1ea310eebca04eae009ff9dd6fd440a98f4a,region_fold_0,9285,832680.4069367158,772535.2101084206,1029850.6363482086,936635.0624602658
region_out,0,71ccf778,b42100f62586b9a333a4155669a600898063413f6dcff114a93342bee1f90acf,region_fold_0,2698,423806.1033051587,395842.85273451207,283088.1638074524,275870.573862945
region_out,0,722cf0d8,2c91346d319c5e4bf0840b8d6c5d94ac78ebf899d3b12f43fa6a95519f41f4a6,region_fold_0,5143,518887.801980924,467918.3599613006,585026.9265435981,487857.7477518355
region_out,0,729e9750,3ba669807619bf82ac8bcdb23b795fb2fedf9136756382fd9e0b0cfb248f478f,region_fold_0,5919,286166.6727746035,228644.8483525665,362107.91565558827,297006.12310840725
region_out,0,729f4217,5d71f8e2faa4558303f34563919e777d1efb6cfbe6ab5a7ee73250effc81466e,region_fold_0,6195,1715078.5435479512,1654559.1763189211,3795715.8969853963,3420894.183069899
region_out,0,75cd5f11,3d649c9ac0a097a340ea3914f72d277e8679a3b97eb025889700efe44a10e73b,region_fold_0,4946,249999.06634471676,402335.6301993886,202040.1191215474,322376.62289522414
region_out,0,75d20a82,bd248c357389a2c0fc5006d7cb820da22f2423a5752835daf50baa9f2da79b91,region_fold_0,5067,1348652.4911224637,1815867.8352637473,1215587.861913976,1685899.5219379482
region_out,0,764072a5,ff4d30531e5ed08ea61a62c2b64754f61f284107066ef90182f42746142fe9cd,region_fold_0,2949,15646.069262923378,14402.434781401877,14136.148226546564,13195.087883514652
region_out,0,7c607683,4b7e42f203f1bc5ecaa34415ec5fcdbd47584ed05e0ddefb9f59a855b9aacfea,region_fold_0,5328,1150598.632175061,865367.0012336873,779460.3340418944,620368.441302085
region_out,0,7cd4bb31,c90dafae0a2766e2701346022c6a4a1868dd190fa1f40c6fb503a3647c833bc2,region_fold_0,6439,289850.15459046245,203799.69050696067,240869.7722391877,177861.4329267497
region_out,0,7d50373e,0b77c09122737b1243afedc61ff2b0ee0b8bde7ce87dc4dde908ecdb280a64d3,region_fold_0,5122,1157457.2531984088,1016101.1543655237,633020.1122020443,588629.4274328095
region_out,0,7e721392,dddb07a84532904ed5bb79f7af690a396097b0479ee33e29ffb4a69df870908d,region_fold_0,6174,16156233.30251906,16460949.618112259,18101570.152754687,18152448.993452713
region_out,0,7ff89f8f,b2509be662840b3849c99885c5edc5180bfbdc7753d0acb991cc7a900da1b5aa,region_fold_0,7337,1014039.194392815,1177812.9051451746,1421038.0615283765,1534407.801789926
region_out,0,811f52b3,dc96640bce8bfcbbd21f02c3c19af5946deb8d938aba171eb014fb6e63c204c3,region_fold_0,4836,52003.24923485214,136856.81384923973,20067.51732452536,62335.43227846203
region_out,0,82fcf37c,cdf68c4b7b3dc76340da9ec6addf2e5ebe1b839923a906cb5691042c544b606e,region_fold_0,6014,192200.55715619074,143252.53568808743,138311.55629045144,121576.30498670417
region_out,0,84c3b497,f06bc774d0fffa96d7ba8509660d7dcbc3e85c7880902aa186268a82bf8e1443,region_fold_0,5312,1644038.4053045472,1503792.7875659477,833023.7081156438,827980.4178225559
region_out,0,85380836,f0cb49a385f7869738a27c790053ed2e9c43896399bb66e9395eb0e15191738f,region_fold_0,6618,510294.96612551715,704131.7235526652,895358.1440246677,1058223.721548317
region_out,0,87695469,a97e785bf2176de1dc0cd3ad57527650ad603d5cc28099a693b227b1f69f22e4,region_fold_0,7003,632094.6607973254,511612.82285778236,1956707.9148001217,1348878.7313306502
region_out,0,87aa3730,526943e58523463a641ef338332de4ff71eccb273c9819279931e4d4c4a10b38,region_fold_0,5607,598086.5864652863,594863.4100383839,742787.9375380765,716723.2629438243
region_out,0,884ecb5f,f26827f634ec6c46ad2e469e7c4df084a6f0e1b3500808a04a63781d7f98fce8,region_fold_0,6724,936635.6855193982,739922.7627396737,981229.6417826173,816081.4334049718
region_out,0,896d15b9,dacc65e90a97616fe9d40256bbf96796879da41f633c96cd9d13553949f74c48,region_fold_0,4279,2401410.3149360507,1287276.2220531728,1723980.1365343132,929898.1231397139
region_out,0,8a89da23,3e3c87fb0c9b4688c7646e2ef9e8c07d4fb96aa054846a45735957bb0cf10be8,region_fold_0,3935,1381178.230985046,2001957.4942955058,1396804.3018331807,1957201.7850384281
region_out,0,8a9c8932,4440cd3eacb46fe48eca1a82a4b4753603abd1e334bfe564ed283156ea238843,region_fold_0,4663,424976.533474967,590615.8331628114,724575.7521984633,869642.8475911095
region_out,0,8bb9c1e6,bab231c063e9e45695a2e623b34d94fefb4971045eb85a69156c6ba277d24515,region_fold_0,4546,19024.445059775077,20770.457349096792,21467.727455339293,18743.668296076714
region_out,0,8bda1a11,d739cc9d48bcb00383c605819fb844d1ff20c433af6d5aa047a89be278509bed,region_fold_0,5981,289270.61668143433,451691.9287660057,310175.8316330627,469319.95307724096
