well,oracle_shift,base_rmse,tw_delta,prefix_delta,ridge_correction,ridge_rmse,ordered_rmse
357c12f9,-0.2385913949667065,3.0321212479344855,3.056416904138195,-15.752295713747234,1.774154216957505,3.6315256169744408,3.239125910668477
3584a6eb,-8.542257313549944,9.457069816252103,4.691687044401355,-14.547960723486183,2.1130805919260536,11.401852278399033,8.248816869111579
35b30c7f,-15.526738038037387,17.674755759556344,6.674178763903555,-8.558823881540711,6.575661884529014,23.660800480863546,15.425730942469544
35b3ef6a,-18.47292391650096,20.25989942398836,-6.086003573136158,-12.49546387428049,-4.734514584452066,16.06108643959746,18.185528682775857
368fe682,13.443274511019153,15.754268625529983,-4.565664180371881,-14.303733894363397,-3.351437935349773,18.695927805352163,15.734226479976355
37344c2a,8.48909459613943,15.037212840651046,-0.38191553936843947,-13.503535103697887,-3.0683650476385895,16.95959658631044,15.447194473619842
398dce4b,-0.7585962529553847,3.1245834545160793,0.2713996147795746,-7.016845748697239,1.8775776375604893,4.0170842996227405,2.956869300704272
3a7dd95d,-7.396231398306138,10.191421841890252,-1.5723173977772489,-12.627057129784856,1.3481115699789128,11.208227969178601,9.68668776987189
3aaa2b30,10.230284636879826,12.413504061084867,0.7564514915908125,-7.461806751023509,3.916198387208462,9.450081718761606,11.85673711527541
3b21ea64,0.10846490106246856,5.91631461028944,1.137343380801652,-12.539124948931493,-2.2922518289101554,6.38392158087287,6.768098024443678
3bbe1f5d,3.504178909065376,5.6034718595909965,0.9677153974691687,-15.30805581715405,2.2564038282958765,4.547149624399663,6.690501572988388
3c3dbcbc,-5.184140056014958,8.706499080830529,-8.604797355219405,-14.365056006694587,-13.492650922909505,10.8609010192265,6.952744959297334
3d96d897,-0.43814194989252436,2.3885790456250997,1.243573694456472,-11.975679746816859,0.819221710068657,2.6635136309651,2.171264617521585
3df4b19e,-4.335260285925385,7.43138482756766,-10.587233097826456,-17.223067485316935,-5.655352067482451,6.178482096794931,6.463032026215922
3e678ea7,8.818440995699897,10.058945017816457,-3.074930198908673,-15.357370901472823,4.659997305807384,6.380448824245922,11.423710048963
3ef6372a,-6.0043753561041875,7.3746561972912295,-0.31815129021991,-15.233004898219203,0.11763741645858711,7.470747686723148,7.333757685023667
404c4384,3.299298536416141,3.94670125533825,,,2.2900752728482625,2.3894793496113733,3.9042599922890413
42669188,-15.80403553782292,17.613684116818447,-7.881134921972748,-12.145285408650208,1.306886456391025,18.79515842918966,16.353403780151343
4463446c,6.849104714226458,10.751875575774838,-1.0327632922967172,-5.096123406451475,1.2926424707463653,9.978319782094156,11.850585337187756
463c38f2,2.5686061349724683,6.842692642018446,-1.5344514313401203,-4.072449757368673,0.2932806428976386,6.738086613527536,5.87872189802568
46d24a09,16.896023700791346,19.7024524362433,6.896000295946429,2.0352398656335744,4.475770114216965,16.030399691197264,19.384494700148004
46d41ff6,-2.80835886014858,5.2085507326761835,0.4925086936294508,-10.061378671133939,3.197387439395378,7.437143931777232,5.36486529579977
48c1f673,13.177436169162936,15.029421853179135,0.3908497554606569,-19.81214267405334,-0.9569482791700242,15.875122707612057,15.598537428543233
4a035ec2,-11.59620031614079,14.857494054216854,-5.951295781712954,-13.964234064454839,1.7666695415167117,16.2738919325321,16.33000077549984
4b831d20,-14.66430349035141,16.47412680370851,-6.353063338756076,-7.233428266766287,0.6044101149724386,17.014366642603733,19.13846317822407
4ed93db6,-4.176386432340718,8.035864121477838,-4.0573766615619835,-10.412400114697984,-5.02495117108016,6.917584163741574,7.288151365657974
4f4ac5ce,2.7432729707683228,6.644521289661657,-1.1037584344539124,-15.383031423110914,0.10447935641985756,6.602071517012375,7.790921464829406
4fbe9c06,-11.099985731844644,14.352874003831916,-1.5479118231123967,-13.84698993097739,-3.2913797375189398,11.990397678865545,13.237911237057135
511e1db0,-2.7047276026134885,4.101333535746245,-4.925497486199895,-2.9982059557825878,0.7889058759225154,4.659491415320722,3.4812891200368736
512943b2,-0.8328598348830419,4.29044811418689,5.116713573909657,-13.15676522826852,3.305894430387424,5.902844770469253,5.81374203648274
521a7819,-36.66481084388802,39.06686727764403,-6.466681215233063,-21.89193309864424,0.9822083876632226,39.99012155134937,39.01819460361837
53134831,-8.203103480740527,9.50532430581951,2.150992016647092,-9.642949418711616,2.0816628154603904,11.35062558674821,9.676397656914078
5397ceb1,-4.590203931287522,7.427235820663365,-3.74426086953771,-3.520457004154986,2.9599624407896283,9.544572910873297,7.589186160921807
543198e8,3.808722487787792,18.25673101181458,-2.6066837972692074,-9.372961854364942,-5.0950195761598875,19.951904244710093,17.19175128258975
5663b2b7,-5.150342510504541,13.801308393223792,8.480515391228808,-6.374483721870293,8.83435475878773,18.961061233568294,14.358455856298061
577eec7c,4.998309254374244,11.122857692519574,7.490746389253632,-10.944318120292145,3.6688080821211417,10.025090583765458,10.672818907519261
58850d2c,-9.64031845883175,11.040937588098963,-2.6605035716523147,-0.6338910906825966,3.1122875870099254,13.841803487878106,11.135361396255645
591cc951,-4.507711021565782,5.992896164217991,2.0334639138485238,-9.782644321248405,4.836665519663029,10.144590613987715,5.422543481895375
5a1a8fd8,-9.998408577284458,11.622962956223859,-3.512328898794598,-17.716658279646893,-0.8720115410064705,10.881921552152988,10.762914369032563
5a5d1982,-2.6979973590342152,4.751888989183752,-2.9630562555234303,-14.168782634812022,0.021233616539810818,4.763976943132189,4.552706106779508
5b7b6324,13.747680026200756,17.552827063871387,5.886413244552432,-11.509867875245819,3.6335839208294285,14.879447968928874,18.037042904052065
